Thunder Bay, (63203) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63203),,,,,,,,,,,,,,,,,,,,,,,,,
Address,421 James St. S.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.379389,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.290167,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 192 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,15 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63203,Fine Particulate Matter,2020-02-08,11,15,13,12,11,10,8,7,5,5,4,3,3,3,3,4,6,6,8,6,9,12,9,10
63203,Fine Particulate Matter,2020-02-09,6,5,5,6,6,5,5,4,5,5,4,4,4,4,4,3,4,5,11,19,8,7,8,9
63203,Fine Particulate Matter,2020-02-10,7,8,8,7,7,9,9,11,15,12,10,10,10,14,11,11,7,5,6,7,6,8,8,7
63203,Fine Particulate Matter,2020-02-11,6,5,5,5,10,7,4,4,4,4,3,3,3,3,2,2,2,2,2,3,2,2,3,3
63203,Fine Particulate Matter,2020-02-12,5,14,24,7,5,5,5,6,8,5,3,3,3,3,3,3,3,4,5,5,5,5,4,4
63203,Fine Particulate Matter,2020-02-13,4,4,4,4,4,4,3,9,10,1,1,1,1,1,1,1,2,2,3,4,4,5,5,5
63203,Fine Particulate Matter,2020-02-14,11,7,9,10,12,9,9,12,9999,6,4,3,5,7,7,3,4,4,5,4,4,3,3,4
63203,Fine Particulate Matter,2020-02-15,5,6,5,5,5,5,6,6,6,7,8,8,8,9,9,7,6,6,6,4,4,4,3,3
63203,Fine Particulate Matter,2020-02-16,3,3,3,3,3,3,3,3,5,4,4,4,3,3,3,3,3,3,6,10,11,14,15,15
63203,Fine Particulate Matter,2020-02-17,14,13,13,13,12,12,11,9,9,10,10,11,7,10,5,4,4,4,5,6,12,10,11,8
63203,Fine Particulate Matter,2020-02-18,9,8,6,5,4,4,3,4,4,4,3,3,3,3,3,3,4,3,7,3,3,3,4,5
63203,Fine Particulate Matter,2020-02-19,2,2,3,3,3,3,2,3,12,3,2,3,3,3,2,3,5,6,7,6,5,5,5,4
63203,Fine Particulate Matter,2020-02-20,4,4,4,3,3,4,4,26,7,5,4,3,3,2,2,2,2,3,3,4,5,5,6,6
63203,Fine Particulate Matter,2020-02-21,6,32,18,11,31,4,5,7,13,10,5,6,5,5,5,4,4,4,4,7,8,16,6,5
63203,Fine Particulate Matter,2020-02-22,6,6,6,5,5,5,5,5,6,7,5,6,8,8,11,10,12,13,16,22,24,24,15,12
63203,Fine Particulate Matter,2020-02-23,10,21,24,15,14,13,12,13,12,12,12,15,13,9,6,4,3,3,4,4,4,3,2,1
63203,Fine Particulate Matter,2020-02-24,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,5,5,6,7,4
63203,Fine Particulate Matter,2020-02-25,3,3,3,3,5,5,4,6,5,5,5,5,3,3,3,2,2,2,2,3,3,4,4,3
63203,Fine Particulate Matter,2020-02-26,3,3,3,3,4,4,5,5,5,4,3,3,3,2,2,2,3,3,3,4,3,2,2,2
63203,Fine Particulate Matter,2020-02-27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,7,6,5,3
63203,Fine Particulate Matter,2020-02-28,4,4,4,3,3,3,3,4,4,4,3,3,3,2,2,2,3,3,4,5,5,4,4,4
63203,Fine Particulate Matter,2020-02-29,4,4,4,4,5,5,6,6,6,7,6,4,7,6,5,4,5,6,5,4,11,16,13,14
63203,Fine Particulate Matter,2020-03-01,14,9,8,10,10,12,10,8,10,12,12,9,8,8,8,9,11,13,16,17,16,3,2,2
63203,Fine Particulate Matter,2020-03-02,3,3,4,4,3,3,2,2,3,2,3,3,3,4,3,3,3,3,4,6,11,19,7,4
63203,Fine Particulate Matter,2020-03-03,4,5,4,7,13,12,14,13,13,10,8,7,6,3,2,3,4,4,4,3,3,2,2,2
63203,Fine Particulate Matter,2020-03-04,1,2,1,1,2,2,2,2,3,2,3,2,2,2,2,1,2,2,2,2,7,8,2,2
63203,Fine Particulate Matter,2020-03-05,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
63203,Fine Particulate Matter,2020-03-06,2,4,3,3,3,4,4,8,5,5,4,3,20,8,4,3,2,2,2,2,4,5,6,6
63203,Fine Particulate Matter,2020-03-07,9,6,5,7,6,6,7,7,9,8,7,5,5,5,5,6,6,8,8,10,8,8,5,5
63203,Fine Particulate Matter,2020-03-08,10,8,-999,-999,8,9,10,10,13,19,16,9,9,10,8,8,8,7,8,7,6,5,5,5
63203,Fine Particulate Matter,2020-03-09,5,4,5,5,5,5,6,5,6,7,7,6,6,7,6,5,7,8,8,11,9,11,10,10
63203,Fine Particulate Matter,2020-03-10,10,9,9,10,9,9,9,12,10,7,5,5,4,4,8,4,3,4,4,5,16,21,14,11
63203,Fine Particulate Matter,2020-03-11,16,29,10,9,10,11,11,9,9,9,7,6,6,8,8,5,6,6,5,6,5,4,4,5
63203,Fine Particulate Matter,2020-03-12,5,5,6,6,6,6,6,8,10,9,12,11,7,9,8,7,10,10,12,13,14,14,4,2
63203,Fine Particulate Matter,2020-03-13,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4
63203,Fine Particulate Matter,2020-03-14,4,6,3,3,3,3,3,3,3,4,3,3,4,4,3,3,2,3,8,7,6,4,5,4
63203,Fine Particulate Matter,2020-03-15,4,5,6,6,7,7,7,8,7,6,4,2,2,2,2,2,3,10,3,3,3,2,2,2
63203,Fine Particulate Matter,2020-03-16,4,2,6,6,5,5,6,8,7,4,3,2,3,3,3,2,2,2,2,2,3,3,3,2
63203,Fine Particulate Matter,2020-03-17,2,3,3,4,3,3,4,4,5,5,5,5,4,4,3,3,4,4,4,5,5,7,7,7
63203,Fine Particulate Matter,2020-03-18,8,10,8,10,10,10,11,10,10,10,9,10,6,5,5,5,6,6,6,6,6,7,5,5
63203,Fine Particulate Matter,2020-03-19,6,5,5,5,6,8,6,6,4,3,3,2,2,1,1,3,3,4,4,4,3,3,3,3
63203,Fine Particulate Matter,2020-03-20,5,6,6,7,7,6,6,5,4,3,3,2,2,1,1,2,3,2,2,5,6,6,8,8
63203,Fine Particulate Matter,2020-03-21,9,9,8,8,8,7,7,7,6,6,4,3,2,3,3,2,2,2,2,2,2,13,10,10
63203,Fine Particulate Matter,2020-03-22,7,8,16,8,9,10,8,8,10,3,2,3,3,3,3,3,4,4,4,6,6,5,6,7
63203,Fine Particulate Matter,2020-03-23,10,9,9,9,10,10,11,10,12,10,10,10,9,7,5,4,4,3,4,4,4,6,6,6
63203,Fine Particulate Matter,2020-03-24,9,10,11,10,10,12,12,13,12,13,16,12,6,5,5,6,6,7,9,10,16,19,21,19
63203,Fine Particulate Matter,2020-03-25,12,6,7,8,8,8,8,9,8,6,6,5,6,5,3,2,1,1,1,2,3,2,2,2
63203,Fine Particulate Matter,2020-03-26,1,2,1,2,2,2,3,3,3,2,2,2,2,4,3,4,3,5,4,5,9999,9999,9999,9999
63203,Fine Particulate Matter,2020-03-27,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,3,2,2,2,2,5,2,14,46,31,24
63203,Fine Particulate Matter,2020-03-28,23,21,29,24,21,19,19,22,16,15,9,6,6,6,6,6,7,12,14,13,25,33,12,6
63203,Fine Particulate Matter,2020-03-29,3,3,3,3,3,3,4,3,3,3,3,3,2,2,2,3,3,3,4,4,4,3,3,3
63203,Fine Particulate Matter,2020-03-30,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,13,7,9,6,6,7
63203,Fine Particulate Matter,2020-03-31,7,6,6,6,6,8,8,8,6,5,5,3,3,2,2,2,2,2,2,7,19,12,7,5
63203,Fine Particulate Matter,2020-04-01,6,7,8,10,9,5,3,3,3,3,4,3,2,3,4,2,2,2,3,9999,9999,9999,9999,5
63203,Fine Particulate Matter,2020-04-02,7,8,8,6,6,7,7,6,7,4,3,2,2,2,2,2,3,3,4,13,18,7,6,5
63203,Fine Particulate Matter,2020-04-03,5,5,4,4,3,3,3,3,4,4,4,4,4,4,6,5,5,4,4,8,5,2,1,2
63203,Fine Particulate Matter,2020-04-04,2,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,2,3,4,5,5,6,5,6
63203,Fine Particulate Matter,2020-04-05,5,5,5,6,6,6,7,7,7,7,6,5,5,4,4,4,6,6,6,6,8,7,7,6
