Thunder Bay, (63200) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Thunder Bay (63200),,,,,,,,,,,,,,,,,,,,,,,,,
Address,615 James St. S., MTO,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,48.374049,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-89.289658,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 191 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,3 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
63200,Fine Particulate Matter,2024-11-01,1,1,1,3,3,3,3,4,4,4,2,3,3,2,2,2,2,2,3,3,6,6,6,6
63200,Fine Particulate Matter,2024-11-02,5,5,4,5,5,5,6,8,12,11,10,9,9,3,3,3,3,4,6,16,11,15,9,12
63200,Fine Particulate Matter,2024-11-03,8,8,8,8,8,7,7,9,10,10,11,9,12,12,12,9,16,7,3,3,2,2,2,2
63200,Fine Particulate Matter,2024-11-04,2,2,2,3,3,2,2,2,2,3,2,2,2,3,3,5,3,3,2,1,1,1,1,2
63200,Fine Particulate Matter,2024-11-05,1,1,1,1,1,1,1,2,3,3,2,2,2,2,3,3,3,3,3,3,4,4,4,4
63200,Fine Particulate Matter,2024-11-06,4,4,4,5,5,4,4,5,8,6,5,5,5,5,5,4,5,6,5,5,5,7,7,6
63200,Fine Particulate Matter,2024-11-07,5,5,6,4,4,5,5,6,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3
63200,Fine Particulate Matter,2024-11-08,3,3,3,3,3,2,1,2,2,1,1,1,1,1,1,1,1,2,5,8,8,7,7,6
63200,Fine Particulate Matter,2024-11-09,7,7,7,7,6,6,6,6,6,5,6,6,4,4,4,4,4,5,6,6,4,5,3,6
63200,Fine Particulate Matter,2024-11-10,8,6,6,7,7,7,7,6,6,6,6,8,7,7,7,7,7,7,7,7,6,7,7,7
63200,Fine Particulate Matter,2024-11-11,6,6,4,4,2,0,0,0,0,0,1,1,1,1,1,1,2,1,2,2,2,2,3,2
63200,Fine Particulate Matter,2024-11-12,2,2,3,3,4,3,4,4,5,4,4,7,2,1,1,1,1,1,2,3,3,2,1,1
63200,Fine Particulate Matter,2024-11-13,1,1,1,1,1,2,2,4,4,4,4,4,5,5,4,4,4,5,5,4,4,4,6,6
63200,Fine Particulate Matter,2024-11-14,6,6,7,5,6,6,8,9,10,8,8,4,4,5,5,6,6,5,4,4,4,5,5,4
63200,Fine Particulate Matter,2024-11-15,4,6,6,7,8,7,8,7,7,8,9,9,6,5,3,4,4,5,6,12,9,10,9,10
63200,Fine Particulate Matter,2024-11-16,9,8,7,8,6,7,7,7,7,8,12,13,15,8,9,8,6,7,10,9,6,6,5,4
63200,Fine Particulate Matter,2024-11-17,5,6,7,9,10,11,11,9,7,8,11,8,7,3,2,2,2,1,1,1,2,2,2,2
63200,Fine Particulate Matter,2024-11-18,2,2,3,3,3,4,5,5,5,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4
63200,Fine Particulate Matter,2024-11-19,4,3,3,3,3,3,3,3,3,2,2,2,3,5,8,2,2,2,1,1,2,3,3,1
63200,Fine Particulate Matter,2024-11-20,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,6,4,3,3,3
63200,Fine Particulate Matter,2024-11-21,3,2,2,2,2,2,1,1,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-11-22,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,2,2,3,2,2,3,1
63200,Fine Particulate Matter,2024-11-23,1,1,2,4,4,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,4,6,3,1
63200,Fine Particulate Matter,2024-11-24,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-11-25,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,2,3,2,2,2,3,2
63200,Fine Particulate Matter,2024-11-26,2,2,1,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-11-27,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-11-28,1,1,0,0,1,0,0,0,1,1,2,1,1,1,1,2,1,1,1,1,0,0,0,1
63200,Fine Particulate Matter,2024-11-29,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,4,3,3,3,3
63200,Fine Particulate Matter,2024-11-30,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-12-01,1,1,1,0,0,0,0,0,0,1,0,1,1,2,1,1,2,1,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-12-02,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
63200,Fine Particulate Matter,2024-12-03,1,2,2,2,2,2,2,2,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3
63200,Fine Particulate Matter,2024-12-04,3,6,8,9,10,9,7,4,3,3,2,3,3,2,2,2,2,2,1,1,1,2,2,2
63200,Fine Particulate Matter,2024-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,6,4,2,2
